04-22 00:29:14.047 W/CpuPowerCalculator(  519): UID 10162 CPU freq # mismatch: Power Profile # 2 actual # 8
04-22 00:29:14.047 W/CpuPowerCalculator(  519): UID 10162 CPU freq # mismatch: Power Profile # 2 actual # 8
04-22 00:29:14.047 W/CpuPowerCalculator(  519): UID 10161 CPU freq # mismatch: Power Profile # 2 actual # 8
04-22 00:29:14.047 W/CpuPowerCalculator(  519): UID 10161 CPU freq # mismatch: Power Profile # 2 actual # 8
04-22 00:29:14.047 W/CpuPowerCalculator(  519): UID 10161 CPU freq # mismatch: Power Profile # 2 actual # 8
04-22 00:29:14.047 W/CpuPowerCalculator(  519): UID 10157 CPU freq # mismatch: Power Profile # 2 actual # 8
04-22 00:29:14.047 W/CpuPowerCalculator(  519): UID 10157 CPU freq # mismatch: Power Profile # 2 actual # 8
04-22 00:29:14.047 W/CpuPowerCalculator(  519): UID 10157 CPU freq # mismatch: Power Profile # 2 actual # 8
04-22 00:29:14.047 W/CpuPowerCalculator(  519): UID 10156 CPU freq # mismatch: Power Profile # 2 actual # 8
04-22 00:29:14.047 W/CpuPowerCalculator(  519): UID 10156 CPU freq # mismatch: Power Profile # 2 actual # 8
04-22 00:29:14.047 W/CpuPowerCalculator(  519): UID 10156 CPU freq # mismatch: Power Profile # 2 actual # 8
04-22 00:29:14.047 W/CpuPowerCalculator(  519): UID 10154 CPU freq # mismatch: Power Profile # 2 actual # 8
04-22 00:29:14.047 W/CpuPowerCalculator(  519): UID 10154 CPU freq # mismatch: Power Profile # 2 actual # 8
04-22 00:29:14.047 W/CpuPowerCalculator(  519): UID 10152 CPU freq # mismatch: Power Profile # 2 actual # 8
04-22 00:29:14.047 W/CpuPowerCalculator(  519): UID 10152 CPU freq # mismatch: Power Profile # 2 actual # 8
04-22 00:29:14.047 W/CpuPowerCalculator(  519): UID 10152 CPU freq # mismatch: Power Profile # 2 actual # 8
04-22 00:29:14.047 W/CpuPowerCalculator(  519): UID 10152 CPU freq # mismatch: Power Profile # 2 actual # 8
04-22 00:29:14.047 W/CpuPowerCalculator(  519): UID 10151 CPU freq # mismatch: Power Profile # 2 actual # 8
04-22 00:29:14.047 W/CpuPowerCalculator(  519): UID 10151 CPU freq # mismatch: Power Profile # 2 actual # 8
04-22 00:29:14.047 W/CpuPowerCalculator(  519): UID 10151 CPU freq # mismatch: Power Profile # 2 actual # 8
04-22 00:29:14.047 W/CpuPowerCalculator(  519): UID 10150 CPU freq # mismatch: Power Profile # 2 actual # 8
04-22 00:29:14.047 W/CpuPowerCalculator(  519): UID 10150 CPU freq # mismatch: Power Profile # 2 actual # 8
04-22 00:29:14.047 W/CpuPowerCalculator(  519): UID 10150 CPU freq # mismatch: Power Profile # 2 actual # 8
04-22 00:29:14.047 W/CpuPowerCalculator(  519): UID 10146 CPU freq # mismatch: Power Profile # 2 actual # 8
04-22 00:29:14.047 W/CpuPowerCalculator(  519): UID 10146 CPU freq # mismatch: Power Profile # 2 actual # 8
04-22 00:29:14.047 W/CpuPowerCalculator(  519): UID 10146 CPU freq # mismatch: Power Profile # 2 actual # 8
04-22 00:29:14.047 W/CpuPowerCalculator(  519): UID 10146 CPU freq # mismatch: Power Profile # 2 actual # 8
04-22 00:29:14.047 W/CpuPowerCalculator(  519): UID 10145 CPU freq # mismatch: Power Profile # 2 actual # 8
04-22 00:29:14.047 W/CpuPowerCalculator(  519): UID 10145 CPU freq # mismatch: Power Profile # 2 actual # 8
04-22 00:29:14.047 W/CpuPowerCalculator(  519): UID 10145 CPU freq # mismatch: Power Profile # 2 actual # 8
04-22 00:29:14.047 W/CpuPowerCalculator(  519): UID 10144 CPU freq # mismatch: Power Profile # 2 actual # 8
04-22 00:29:14.047 W/CpuPowerCalculator(  519): UID 10144 CPU freq # mismatch: Power Profile # 2 actual # 8
04-22 00:29:14.047 W/CpuPowerCalculator(  519): UID 10144 CPU freq # mismatch: Power Profile # 2 actual # 8
04-22 00:29:14.047 W/CpuPowerCalculator(  519): UID 10144 CPU freq # mismatch: Power Profile # 2 actual # 8
04-22 00:29:14.047 W/CpuPowerCalculator(  519): UID 10143 CPU freq # mismatch: Power Profile # 2 actual # 8
04-22 00:29:14.047 W/CpuPowerCalculator(  519): UID 10143 CPU freq # mismatch: Power Profile # 2 actual # 8
04-22 00:29:14.047 W/CpuPowerCalculator(  519): UID 10143 CPU freq # mismatch: Power Profile # 2 actual # 8
04-22 00:29:14.047 W/CpuPowerCalculator(  519): UID 10142 CPU freq # mismatch: Power Profile # 2 actual # 8
04-22 00:29:14.047 W/CpuPowerCalculator(  519): UID 10142 CPU freq # mismatch: Power Profile # 2 actual # 8
04-22 00:29:14.047 W/CpuPowerCalculator(  519): UID 10142 CPU freq # mismatch: Power Profile # 2 actual # 8
04-22 00:29:14.047 W/CpuPowerCalculator(  519): UID 10142 CPU freq # mismatch: Power Profile # 2 actual # 8
04-22 00:29:14.047 W/CpuPowerCalculator(  519): UID 10141 CPU freq # mismatch: Power Profile # 2 actual # 8
04-22 00:29:14.047 W/CpuPowerCalculator(  519): UID 10141 CPU freq # mismatch: Power Profile # 2 actual # 8
04-22 00:29:14.047 W/CpuPowerCalculator(  519): UID 10141 CPU freq # mismatch: Power Profile # 2 actual # 8
04-22 00:29:14.047 W/CpuPowerCalculator(  519): UID 10138 CPU freq # mismatch: Power Profile # 2 actual # 8
04-22 00:29:14.047 W/CpuPowerCalculator(  519): UID 10138 CPU freq # mismatch: Power Profile # 2 actual # 8
04-22 00:29:14.047 W/CpuPowerCalculator(  519): UID 10138 CPU freq # mismatch: Power Profile # 2 actual # 8
04-22 00:29:14.047 W/CpuPowerCalculator(  519): UID 10134 CPU freq # mismatch: Power Profile # 2 actual # 8
04-22 00:29:14.047 W/CpuPowerCalculator(  519): UID 10134 CPU freq # mismatch: Power Profile # 2 actual # 8
04-22 00:29:14.047 W/CpuPowerCalculator(  519): UID 10134 CPU freq # mismatch: Power Profile # 2 actual # 8
04-22 00:29:14.047 W/CpuPowerCalculator(  519): UID 10134 CPU freq # mismatch: Power Profile # 2 actual # 8
04-22 00:29:14.048 W/CpuPowerCalculator(  519): UID 10133 CPU freq # mismatch: Power Profile # 2 actual # 8
04-22 00:29:14.048 W/CpuPowerCalculator(  519): UID 10133 CPU freq # mismatch: Power Profile # 2 actual # 8
04-22 00:29:14.048 W/CpuPowerCalculator(  519): UID 10131 CPU freq # mismatch: Power Profile # 2 actual # 8
04-22 00:29:14.048 W/CpuPowerCalculator(  519): UID 10131 CPU freq # mismatch: Power Profile # 2 actual # 8
04-22 00:29:14.048 W/CpuPowerCalculator(  519): UID 10131 CPU freq # mismatch: Power Profile # 2 actual # 8
04-22 00:29:14.048 W/CpuPowerCalculator(  519): UID 10129 CPU freq # mismatch: Power Profile # 2 actual # 8
04-22 00:29:14.048 W/CpuPowerCalculator(  519): UID 10129 CPU freq # mismatch: Power Profile # 2 actual # 8
04-22 00:29:14.048 W/CpuPowerCalculator(  519): UID 10129 CPU freq # mismatch: Power Profile # 2 actual # 8
04-22 00:29:14.048 W/CpuPowerCalculator(  519): UID 10129 CPU freq # mismatch: Power Profile # 2 actual # 8
04-22 00:29:14.048 W/CpuPowerCalculator(  519): UID 10127 CPU freq # mismatch: Power Profile # 2 actual # 8
04-22 00:29:14.048 W/CpuPowerCalculator(  519): UID 10127 CPU freq # mismatch: Power Profile # 2 actual # 8
04-22 00:29:14.048 W/CpuPowerCalculator(  519): UID 10127 CPU freq # mismatch: Power Profile # 2 actual # 8
04-22 00:29:14.048 W/CpuPowerCalculator(  519): UID 10126 CPU freq # mismatch: Power Profile # 2 actual # 8
04-22 00:29:14.048 W/CpuPowerCalculator(  519): UID 10126 CPU freq # mismatch: Power Profile # 2 actual # 8
